idx,epsilon_h,epsilon_c,k,counter,oracle_elapsed_ns,round_trip_ns,pow_ns,nonce,attestation_mode,attestation_document_sha256,attestation_document_bytes,attestation_elapsed_ns
0,0.5,2.0,15,1,4471508,5463238,53059691,52717,nsm-rust-helper,5c15cf88890e91bcc0d2dec20efd410018cc2d277b57fef3f95714e694369fd0,4498,4329639
1,0.5,2.0,15,2,2168113,3239563,45534646,45332,nsm-rust-helper,e47c584b3ec4459dcac0a91a87af4add59b3b666163a38d85ee1e4042a5102ff,4498,2059146
2,0.5,2.0,15,3,2384321,3773754,36080083,35880,nsm-rust-helper,ea811c4d37f46cd68204d9e1c81e8e24398f7001abac6bec3d08c6c1b86f3d4a,4498,2264509
3,0.5,2.0,15,4,2151063,3494047,6370372,6332,nsm-rust-helper,d95fba2438d45077e3266a63a84be77f10728b525dcd6407113b0f5cd692d8c5,4498,2033430
4,0.5,2.0,15,5,2011797,3057598,70722008,70224,nsm-rust-helper,8038b9cbb5de40837a87da5b5b952d63d5e7985c3c6835f67f245ecaa45629cf,4498,1918289
5,0.5,2.0,15,6,2217978,3475394,33169083,32983,nsm-rust-helper,bcfc9f483f8ce853b0974f712f9e74121140ac957ffb4bf75577e7bd3560f80c,4498,2107035
6,0.5,2.0,15,7,1901025,3139640,70781816,70443,nsm-rust-helper,d78e66e4e59b82e45e1368f7e6279ad9cf010f92c492a60d8b40336bc412a163,4498,1791669
7,0.5,2.0,15,8,2100691,3595946,24221080,23970,nsm-rust-helper,8685cd504c43d8b5439ada966c306c6cf5f8491f13a7e32555251c425f27c771,4498,1987756
8,0.5,2.0,15,9,2161281,3372980,43405720,43133,nsm-rust-helper,e7c3b905708de161685b8b8e4931007e7fc760bd1bd2108b41990d7a7cdefd09,4498,2049683
9,0.5,2.0,15,10,2130414,2999009,2717948,2665,nsm-rust-helper,2db5a12b4cb5c8803f29825bb4c73cb5da1d17be82d9c5e0802245abab28135b,4498,2022008
10,0.5,2.0,15,11,2017708,3093777,26266030,26152,nsm-rust-helper,dd8642dbe6fc216da46e9351aee51306cd3d22902e84a30c093081c589bc0a2b,4498,1935484
11,0.5,2.0,15,12,2190139,3368230,14937523,14757,nsm-rust-helper,eb00eb37e5c747b4884b0ef9128ea9fa786bf52e6a9e3403086560d88dbd7cc1,4498,2072320
12,0.5,2.0,15,13,2186502,3132953,16752061,16585,nsm-rust-helper,c881ec6997aa95c567a3bccba69ed43fb87e7d5f0033bf5754e6375d55b11404,4498,2084040
13,0.5,2.0,15,14,2221166,3144454,38467636,38277,nsm-rust-helper,c33c9dc9ef17da32dc59837048b913223259c25afedecabe993f64474da559ca,4498,2113479
14,0.5,2.0,15,15,2039447,3121604,7413939,7310,nsm-rust-helper,1dd32bfaae30f925a8487cb7ab8c02f2d89053547dbbaa6b97c051334702265a,4498,1930945
15,0.5,2.0,15,16,2056202,3076262,2302556,2222,nsm-rust-helper,0f0fad8745b5ea48aec109c83968c065bca3423ec2cf71f56b329423cad5af83,4498,1955833
16,0.5,2.0,15,17,2116403,3232825,19035815,18639,nsm-rust-helper,96fbc780991a0fdc74a79e1238bb36779fa449d3da877e90f36f6871fcdb9bdf,4498,2038984
17,0.5,2.0,15,18,2193595,3213035,12996170,12816,nsm-rust-helper,9d87d920da97db8a05561342c2156db87f0e01d9be419aa9ebe5bc422decfeac,4498,2088049
18,0.5,2.0,15,19,2177626,3315699,23367759,23091,nsm-rust-helper,c2caff62733e2dd8790ecd13edddebb80724325db2a8c7baf63fd57d054f2b7f,4498,2070113
19,0.5,2.0,15,20,2143502,2956208,18890769,18816,nsm-rust-helper,f71eb36d6edf5e22005e0cc5da4a7bf7a3596a436b991089e36bad1798567f6b,4498,2035523
20,0.5,2.0,15,21,2255045,3504893,37742131,37253,nsm-rust-helper,de9bcd4e25358d115d6f14a1c1b6163741b2351f5418173ecfe0b27dcd9f5504,4498,2147556
21,0.5,2.0,15,22,2090780,3163158,53820027,53129,nsm-rust-helper,a68397b2a200a971a725295e6b6c47c93430ac8b9aa444e3a5b5e4678b4948a6,4498,1978916
22,0.5,2.0,15,23,2354238,3321879,26884655,26624,nsm-rust-helper,efa042e069fd49f6869488e51fa6ba05ef914a442e10a1981daa2c804fa24c0d,4498,2241729
23,0.5,2.0,15,24,2259722,3176684,43700167,43087,nsm-rust-helper,f97d70475ba00daa119b74a5e85627acdb0e42418711015a3e7d07eef0f05377,4498,2150525
24,0.5,2.0,15,25,2184888,3392083,2563156,2200,nsm-rust-helper,27932d030ed69807568724871ca3f526a3680135a9267891cb50c192396fb286,4498,2054518
