n,domain,protocol,epsilon_h,epsilon_c,price_h,price_c,premium
10000,2,brr,0.2,0.5,87.42097553,95.01211969,7.59114416
10000,2,brr,0.2,1.0,87.42097553,97.58201621,10.16104068
10000,2,brr,0.2,2.0,87.42097553,98.92784316,11.50686763
10000,2,brr,0.2,4.0,87.42097553,99.65259209,12.23161656
10000,2,brr,0.2,8.0,87.42097553,99.95382910,12.53285357
10000,2,brr,0.5,1.0,95.01211969,97.58201621,2.56989652
10000,2,brr,0.5,2.0,95.01211969,98.92784316,3.91572347
10000,2,brr,0.5,4.0,95.01211969,99.65259209,4.64047240
10000,2,brr,0.5,8.0,95.01211969,99.95382910,4.94170941
10000,2,brr,1.0,2.0,97.58201621,98.92784316,1.34582695
10000,2,brr,1.0,4.0,97.58201621,99.65259209,2.07057588
10000,2,brr,1.0,8.0,97.58201621,99.95382910,2.37181289
10000,2,brr,2.0,4.0,98.92784316,99.65259209,0.72474893
10000,2,brr,2.0,8.0,98.92784316,99.95382910,1.02598594
10000,2,brr,4.0,8.0,99.65259209,99.95382910,0.30123701
10000,32,oue,0.2,0.5,0.00000000,44.45731558,44.45731558
10000,32,oue,0.2,1.0,0.00000000,73.07447209,73.07447209
10000,32,oue,0.2,2.0,0.00000000,88.06096669,88.06096669
10000,32,oue,0.2,4.0,0.00000000,96.13142922,96.13142922
10000,32,oue,0.2,8.0,0.00000000,99.48586263,99.48586263
10000,32,oue,0.5,1.0,44.45731558,73.07447209,28.61715651
10000,32,oue,0.5,2.0,44.45731558,88.06096669,43.60365111
10000,32,oue,0.5,4.0,44.45731558,96.13142922,51.67411364
10000,32,oue,0.5,8.0,44.45731558,99.48586263,55.02854705
10000,32,oue,1.0,2.0,73.07447209,88.06096669,14.98649460
10000,32,oue,1.0,4.0,73.07447209,96.13142922,23.05695713
10000,32,oue,1.0,8.0,73.07447209,99.48586263,26.41139054
10000,32,oue,2.0,4.0,88.06096669,96.13142922,8.07046253
