seed,epsilon_h,frequency_bucket,segments,rmse_users,relative_error,workload_value
2026,0.5,head,96,290.1164,0.057320,93.1216
2026,0.5,mid,224,112.8135,0.132063,84.1524
2026,0.5,tail,768,54.4782,0.250545,69.9346
2026,0.5,long-tail,448,32.3397,0.323695,61.1566
2026,1.0,head,96,134.5236,0.025562,96.9326
2026,1.0,mid,224,50.4675,0.060008,92.7990
2026,1.0,tail,768,26.4492,0.117776,85.8669
2026,1.0,long-tail,448,17.2382,0.174772,79.0274
2026,2.0,head,96,68.5730,0.012515,98.4982
2026,2.0,mid,224,21.0803,0.025236,96.9717
2026,2.0,tail,768,11.8434,0.053473,93.5832
2026,2.0,long-tail,448,8.1756,0.083362,89.9965
2026,4.0,head,96,18.2858,0.003923,99.5292
2026,4.0,mid,224,7.4013,0.008166,99.0201
2026,4.0,tail,768,3.8277,0.017614,97.8864
2026,4.0,long-tail,448,2.5020,0.025923,96.8892
2026,8.0,head,96,2.5752,0.000484,99.9420
2026,8.0,mid,224,1.0114,0.001140,99.8632
2026,8.0,tail,768,0.5047,0.002298,99.7242
2026,8.0,long-tail,448,0.3229,0.003389,99.5933
2027,0.5,head,96,242.0072,0.050912,93.8905
2027,0.5,mid,224,112.2961,0.128716,84.5541
2027,0.5,tail,768,54.5726,0.239752,71.2298
2027,0.5,long-tail,448,34.2343,0.339375,59.2750
2027,1.0,head,96,136.7296,0.027569,96.6917
2027,1.0,mid,224,49.1869,0.061138,92.6635
2027,1.0,tail,768,25.9158,0.115400,86.1520
2027,1.0,long-tail,448,17.4010,0.174420,79.0695
2027,2.0,head,96,49.7555,0.011034,98.6759
2027,2.0,mid,224,21.4381,0.025132,96.9842
2027,2.0,tail,768,11.0609,0.051190,93.8572
2027,2.0,long-tail,448,8.1709,0.081582,90.2101
2027,4.0,head,96,18.6703,0.003939,99.5273
2027,4.0,mid,224,7.3659,0.008382,98.9942
2027,4.0,tail,768,3.7249,0.017129,97.9445
2027,4.0,long-tail,448,2.4534,0.024581,97.0502
2027,8.0,head,96,2.4661,0.000496,99.9405
2027,8.0,mid,224,0.9583,0.001102,99.8677
2027,8.0,tail,768,0.4886,0.002277,99.7267
2027,8.0,long-tail,448,0.3300,0.003346,99.5985
2028,0.5,head,96,306.7475,0.055033,93.3960
2028,0.5,mid,224,103.1792,0.122316,85.3221
2028,0.5,tail,768,55.2303,0.251255,69.8494
2028,0.5,long-tail,448,35.2465,0.368779,55.7466
2028,1.0,head,96,129.1344,0.027528,96.6966
2028,1.0,mid,224,53.0427,0.064320,92.2816
2028,1.0,tail,768,27.6716,0.125482,84.9422
2028,1.0,long-tail,448,17.0727,0.172627,79.2848
2028,2.0,head,96,53.2775,0.011395,98.6326
2028,2.0,mid,224,20.1248,0.023818,97.1419
2028,2.0,tail,768,11.1561,0.050822,93.9013
2028,2.0,long-tail,448,7.6804,0.079950,90.4060
2028,4.0,head,96,19.6119,0.003894,99.5327
2028,4.0,mid,224,6.2168,0.007111,99.1466
2028,4.0,tail,768,3.6843,0.016885,97.9738
2028,4.0,long-tail,448,2.3671,0.023400,97.1920
2028,8.0,head,96,2.5345,0.000560,99.9329
2028,8.0,mid,224,0.9020,0.001081,99.8703
2028,8.0,tail,768,0.5326,0.002314,99.7224
2028,8.0,long-tail,448,0.3240,0.003323,99.6012
2029,0.5,head,96,245.8510,0.055410,93.3507
2029,0.5,mid,224,100.7830,0.119823,85.6212
2029,0.5,tail,768,54.5438,0.252505,69.6994
2029,0.5,long-tail,448,33.7530,0.338696,59.3565
2029,1.0,head,96,115.3694,0.024840,97.0192
2029,1.0,mid,224,54.8778,0.065912,92.0906
2029,1.0,tail,768,26.3060,0.114807,86.2232
2029,1.0,long-tail,448,17.4882,0.175919,78.8897
2029,2.0,head,96,57.0116,0.009989,98.8013
2029,2.0,mid,224,23.6468,0.027523,96.6972
2029,2.0,tail,768,11.1927,0.050822,93.9013
2029,2.0,long-tail,448,7.5597,0.077510,90.6988
2029,4.0,head,96,18.5231,0.003525,99.5770
2029,4.0,mid,224,6.5958,0.007992,99.0409
2029,4.0,tail,768,3.9880,0.017260,97.9288
2029,4.0,long-tail,448,2.5328,0.025433,96.9481
2029,8.0,head,96,2.4846,0.000534,99.9360
2029,8.0,mid,224,0.9409,0.001132,99.8641
2029,8.0,tail,768,0.5062,0.002246,99.7305
2029,8.0,long-tail,448,0.3293,0.003330,99.6004
2030,0.5,head,96,283.3869,0.060882,92.6941
2030,0.5,mid,224,98.1087,0.111543,86.6148
2030,0.5,tail,768,54.9444,0.251877,69.7748
2030,0.5,long-tail,448,35.1287,0.350552,57.9337
2030,1.0,head,96,148.6287,0.023584,97.1699
2030,1.0,mid,224,50.4239,0.056572,93.2114
2030,1.0,tail,768,26.8621,0.124313,85.0825
2030,1.0,long-tail,448,17.1963,0.172879,79.2545
2030,2.0,head,96,55.9577,0.010321,98.7615
2030,2.0,mid,224,20.7955,0.024583,97.0501
2030,2.0,tail,768,11.6657,0.053185,93.6178
2030,2.0,long-tail,448,7.7189,0.076789,90.7853
2030,4.0,head,96,20.3702,0.004011,99.5187
2030,4.0,mid,224,8.0939,0.009156,98.9013
2030,4.0,tail,768,3.8556,0.017361,97.9166
2030,4.0,long-tail,448,2.5020,0.025166,96.9801
2030,8.0,head,96,2.6276,0.000546,99.9345
2030,8.0,mid,224,0.8913,0.001058,99.8730
2030,8.0,tail,768,0.5069,0.002266,99.7280
2030,8.0,long-tail,448,0.3289,0.003317,99.6019
