seed,epsilon_h,selected_segments,top20_overlap,truth_value,estimated_policy_value,decision_regret,buyer_utility
2026,0.5,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2026,1.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2026,2.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2026,4.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2026,8.0,20,0.200000,9758.3585,3361.6400,6396.7185,34.4488
2027,0.5,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2027,1.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2027,2.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2027,4.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2027,8.0,20,0.100000,9758.3585,1528.8628,8229.4957,15.6672
2028,0.5,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2028,1.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2028,2.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2028,4.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2028,8.0,20,0.150000,9758.3585,1964.6278,7793.7307,20.1328
2029,0.5,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2029,1.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2029,2.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2029,4.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2029,8.0,20,0.150000,9758.3585,1964.6278,7793.7307,20.1328
2030,0.5,20,0.000000,9758.3585,48.0165,9710.3419,0.4921
2030,1.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2030,2.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2030,4.0,20,0.000000,9758.3585,0.0000,9758.3585,0.0000
2030,8.0,20,0.050000,9758.3585,572.4143,9185.9442,5.8659
