epsilon_h,epsilon_c,direct_attest_price,claimed_price,overclaim_premium,class_only_price
0.5,0.5,0.0984,0.0984,0.0000,0.0984
0.5,1.0,0.0984,0.0000,0.0000,0.0492
0.5,2.0,0.0984,0.0000,0.0000,0.0328
0.5,4.0,0.0984,0.0000,0.0000,0.0246
0.5,8.0,0.0984,19.2495,19.1511,3.8696
1.0,1.0,0.0000,0.0000,0.0000,0.0492
1.0,2.0,0.0000,0.0000,0.0000,0.0328
1.0,4.0,0.0000,0.0000,0.0000,0.0246
1.0,8.0,0.0000,19.2495,19.2495,3.8696
2.0,2.0,0.0000,0.0000,0.0000,0.0328
2.0,4.0,0.0000,0.0000,0.0000,0.0246
2.0,8.0,0.0000,19.2495,19.2495,3.8696
4.0,4.0,0.0000,0.0000,0.0000,0.0246
4.0,8.0,0.0000,19.2495,19.2495,3.8696
8.0,8.0,19.2495,19.2495,0.0000,3.8696
