seed,epsilon_h,frequency_bucket,segments,rmse_reach,relative_error,workload_value
2026,0.5,head,96,232.4797,0.078153,88.2770
2026,0.5,mid,224,78.6305,0.147128,77.9308
2026,0.5,tail,768,43.3749,0.315864,52.6204
2026,0.5,long-tail,448,26.3938,0.433868,34.9198
2026,1.0,head,96,98.4758,0.030265,95.4602
2026,1.0,mid,224,44.4312,0.081956,87.7067
2026,1.0,tail,768,20.7567,0.155534,76.6700
2026,1.0,long-tail,448,15.0880,0.237100,64.4350
2026,2.0,head,96,48.0187,0.014444,97.8334
2026,2.0,mid,224,19.2998,0.033774,94.9339
2026,2.0,tail,768,9.3989,0.070795,89.3807
2026,2.0,long-tail,448,6.1921,0.103592,84.4612
2026,4.0,head,96,13.4437,0.004539,99.3192
2026,4.0,mid,224,5.8923,0.011060,98.3410
2026,4.0,tail,768,2.9180,0.022105,96.6842
2026,4.0,long-tail,448,2.1082,0.034715,94.7927
2026,8.0,head,96,1.9943,0.000734,99.8899
2026,8.0,mid,224,0.8120,0.001465,99.7802
2026,8.0,tail,768,0.3992,0.002971,99.5543
2026,8.0,long-tail,448,0.2677,0.004395,99.3407
2027,0.5,head,96,178.0727,0.067402,89.8896
2027,0.5,mid,224,85.9529,0.155355,76.6967
2027,0.5,tail,768,42.9549,0.319296,52.1056
2027,0.5,long-tail,448,29.3831,0.472213,29.1680
2027,1.0,head,96,105.0338,0.037240,94.4140
2027,1.0,mid,224,41.7457,0.082996,87.5507
2027,1.0,tail,768,20.8365,0.148771,77.6844
2027,1.0,long-tail,448,13.7381,0.232479,65.1281
2027,2.0,head,96,45.7913,0.015722,97.6417
2027,2.0,mid,224,17.7050,0.032075,95.1887
2027,2.0,tail,768,9.2064,0.070886,89.3671
2027,2.0,long-tail,448,6.2602,0.099279,85.1082
2027,4.0,head,96,14.6890,0.004714,99.2929
2027,4.0,mid,224,5.4700,0.011073,98.3390
2027,4.0,tail,768,3.0568,0.022106,96.6841
2027,4.0,long-tail,448,1.9028,0.031612,95.2581
2027,8.0,head,96,1.9472,0.000657,99.9014
2027,8.0,mid,224,0.8451,0.001622,99.7567
2027,8.0,tail,768,0.3855,0.002944,99.5584
2027,8.0,long-tail,448,0.2557,0.004133,99.3801
2028,0.5,head,96,211.5273,0.065428,90.1858
2028,0.5,mid,224,86.7034,0.163679,75.4481
2028,0.5,tail,768,42.8036,0.313255,53.0117
2028,0.5,long-tail,448,27.9174,0.460579,30.9131
2028,1.0,head,96,88.3935,0.035233,94.7151
2028,1.0,mid,224,43.7287,0.080808,87.8788
2028,1.0,tail,768,21.0916,0.157462,76.3807
2028,1.0,long-tail,448,14.5602,0.234006,64.8991
2028,2.0,head,96,53.9565,0.016962,97.4556
2028,2.0,mid,224,16.1611,0.032474,95.1288
2028,2.0,tail,768,9.2587,0.070205,89.4693
2028,2.0,long-tail,448,5.7428,0.094520,85.8220
2028,4.0,head,96,12.4398,0.004884,99.2674
2028,4.0,mid,224,5.7957,0.010657,98.4014
2028,4.0,tail,768,3.0194,0.023185,96.5223
2028,4.0,long-tail,448,1.9771,0.034118,94.8823
2028,8.0,head,96,1.7245,0.000603,99.9095
2028,8.0,mid,224,0.7648,0.001427,99.7859
2028,8.0,tail,768,0.3945,0.003006,99.5491
2028,8.0,long-tail,448,0.2740,0.004448,99.3328
2029,0.5,head,96,177.9939,0.072165,89.1753
2029,0.5,mid,224,86.6861,0.164657,75.3015
2029,0.5,tail,768,42.0315,0.320258,51.9613
2029,0.5,long-tail,448,28.5091,0.484251,27.3623
2029,1.0,head,96,114.5266,0.031052,95.3422
2029,1.0,mid,224,45.1571,0.082541,87.6188
2029,1.0,tail,768,20.0380,0.153747,76.9379
2029,1.0,long-tail,448,14.3058,0.234940,64.7590
2029,2.0,head,96,46.2663,0.017679,97.3482
2029,2.0,mid,224,17.8355,0.033190,95.0214
2029,2.0,tail,768,9.3122,0.068453,89.7321
2029,2.0,long-tail,448,6.0607,0.097799,85.3302
2029,4.0,head,96,16.6368,0.005152,99.2273
2029,4.0,mid,224,5.9431,0.011640,98.2540
2029,4.0,tail,768,3.1039,0.023571,96.4643
2029,4.0,long-tail,448,1.8702,0.030627,95.4059
2029,8.0,head,96,1.9105,0.000802,99.8797
2029,8.0,mid,224,0.7991,0.001507,99.7740
2029,8.0,tail,768,0.4096,0.002890,99.5665
2029,8.0,long-tail,448,0.2670,0.004441,99.3339
2030,0.5,head,96,249.1017,0.072553,89.1171
2030,0.5,mid,224,82.8420,0.159733,76.0401
2030,0.5,tail,768,41.6890,0.311951,53.2073
2030,0.5,long-tail,448,28.2798,0.451255,32.3117
2030,1.0,head,96,88.0297,0.032495,95.1257
2030,1.0,mid,224,38.9484,0.071905,89.2143
2030,1.0,tail,768,20.6574,0.153247,77.0129
2030,1.0,long-tail,448,13.3838,0.214916,67.7626
2030,2.0,head,96,43.5438,0.014389,97.8417
2030,2.0,mid,224,17.0366,0.034062,94.8907
2030,2.0,tail,768,9.2710,0.070459,89.4312
2030,2.0,long-tail,448,5.7022,0.092581,86.1129
2030,4.0,head,96,15.6905,0.005667,99.1500
2030,4.0,mid,224,6.1383,0.011040,98.3439
2030,4.0,tail,768,2.9980,0.021964,96.7054
2030,4.0,long-tail,448,1.9475,0.033252,95.0123
2030,8.0,head,96,2.2859,0.000567,99.9150
2030,8.0,mid,224,0.7961,0.001487,99.7769
2030,8.0,tail,768,0.3911,0.002966,99.5551
2030,8.0,long-tail,448,0.2728,0.004453,99.3321
