mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
NoVerify,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.942163,94.402402,4.020292,1
StrongDeposit,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,96.018163,98.420206,0.002487,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.25,0.0,0.2,2.400531,14,95.980163,98.421253,0.001441,0
NoVerify,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.942163,93.922296,4.500398,1
StrongDeposit,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,96.018163,98.420206,0.002487,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.25,0.5,0.2,2.400531,14,95.980163,97.761107,0.661587,0
NoVerify,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.942163,93.442190,4.980504,1
StrongDeposit,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,96.018163,98.420206,0.002487,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.25,1.0,0.2,2.400531,14,95.980163,97.100961,1.321733,0
NoVerify,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.942163,94.402402,4.020292,1
StrongDeposit,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,96.018163,98.199678,0.223016,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.5,0.0,0.2,2.400531,15,95.980163,98.267183,0.155511,0
NoVerify,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.942163,93.922296,4.500398,1
StrongDeposit,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,96.018163,98.199678,0.223016,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.5,0.5,0.2,2.400531,15,95.980163,97.607037,0.815657,0
NoVerify,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.942163,93.442190,4.980504,1
StrongDeposit,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,96.018163,98.199678,0.223016,0
Deposit+PoW,100000,2,brr,0.2,0.5,0.5,1.0,0.2,2.400531,15,95.980163,96.946891,1.475803,0
NoVerify,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,96.022163,98.422694,0.000000,0
DirectAttest,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.922163,-1.000000,99.422694,1
RejectMismatch,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.902163,-2.000000,100.422694,1
TEEOnly,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.822163,95.922296,2.500398,0
AuditSlash,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.942163,94.402402,4.020292,1
StrongDeposit,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.922163,95.772163,2.650531,1
ReputationOnly,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.962163,91.912216,6.510478,1
TEE-PoW,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,96.018163,52.521850,45.900844,1
Deposit+PoW,100000,2,brr,0.2,0.5,1.0,0.0,0.2,2.400531,18,95.980163,66.296903,32.125791,1
NoVerify,100000,2,brr,0.2,0.5,1.0,0.5,0.2,2.400531,18,96.022163,98.422694,0.000000,0
