mechanism,lambda,deposit_multiplier,best_response,accepted_fraud_rate,attacker_payoff,rounds
NoVerify,0.25,0.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,0.25,0.5,adaptive over-claim,0.880000,31.0000,10000
NoVerify,0.25,1.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,0.5,0.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,0.5,0.5,adaptive over-claim,0.880000,31.0000,10000
NoVerify,0.5,1.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,1.0,0.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,1.0,0.5,adaptive over-claim,0.880000,31.0000,10000
NoVerify,1.0,1.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,2.0,0.0,adaptive over-claim,0.880000,31.0000,10000
NoVerify,2.0,0.5,adaptive over-claim,0.880000,31.0000,10000
NoVerify,2.0,1.0,adaptive over-claim,0.880000,31.0000,10000
DirectAttest,0.25,0.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,0.25,0.5,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,0.25,1.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,0.5,0.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,0.5,0.5,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,0.5,1.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,1.0,0.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,1.0,0.5,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,1.0,1.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,2.0,0.0,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,2.0,0.5,direct-attestation compliance,0.000000,14.2000,10000
DirectAttest,2.0,1.0,direct-attestation compliance,0.000000,14.2000,10000
RejectMismatch,0.25,0.0,truthful,0.000000,13.8000,10000
RejectMismatch,0.25,0.5,truthful,0.000000,13.8000,10000
RejectMismatch,0.25,1.0,truthful,0.000000,13.8000,10000
RejectMismatch,0.5,0.0,truthful,0.000000,13.8000,10000
RejectMismatch,0.5,0.5,truthful,0.000000,13.8000,10000
RejectMismatch,0.5,1.0,truthful,0.000000,13.8000,10000
RejectMismatch,1.0,0.0,truthful,0.000000,13.8000,10000
RejectMismatch,1.0,0.5,truthful,0.000000,13.8000,10000
RejectMismatch,1.0,1.0,truthful,0.000000,13.8000,10000
RejectMismatch,2.0,0.0,truthful,0.000000,13.8000,10000
RejectMismatch,2.0,0.5,truthful,0.000000,13.8000,10000
RejectMismatch,2.0,1.0,truthful,0.000000,13.8000,10000
TEEOnly,0.25,0.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,0.25,0.5,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,0.25,1.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,0.5,0.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,0.5,0.5,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,0.5,1.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,1.0,0.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,1.0,0.5,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,1.0,1.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,2.0,0.0,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,2.0,0.5,class-boundary gaming,0.560000,21.0000,10000
TEEOnly,2.0,1.0,class-boundary gaming,0.560000,21.0000,10000
AuditSlash,0.25,0.0,selective over-claim,0.440000,16.5000,10000
AuditSlash,0.25,0.5,selective over-claim,0.290000,14.5000,10000
AuditSlash,0.25,1.0,selective over-claim,0.140000,12.5000,10000
AuditSlash,0.5,0.0,selective over-claim,0.440000,16.5000,10000
AuditSlash,0.5,0.5,selective over-claim,0.290000,14.5000,10000
AuditSlash,0.5,1.0,selective over-claim,0.140000,12.5000,10000
AuditSlash,1.0,0.0,selective over-claim,0.440000,16.5000,10000
AuditSlash,1.0,0.5,selective over-claim,0.290000,14.5000,10000
AuditSlash,1.0,1.0,selective over-claim,0.140000,12.5000,10000
AuditSlash,2.0,0.0,selective over-claim,0.440000,16.5000,10000
AuditSlash,2.0,0.5,selective over-claim,0.290000,14.5000,10000
