n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.05,0.0,7.59114416,0.02457600,42.69169732,0.00000000,42.71627332,1
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.05,0.5,7.59114416,0.02457600,42.69169732,3.79557208,46.51184540,1
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.05,1.0,7.59114416,0.02457600,42.69169732,7.59114416,50.30741748,1
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.2,0.0,7.59114416,0.02457600,3.87290340,0.00000000,3.89747940,0
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.2,0.5,7.59114416,0.02457600,3.87290340,3.79557208,7.69305148,1
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,0.2,1.0,7.59114416,0.02457600,3.87290340,7.59114416,11.48862356,1
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,1.0,0.0,7.59114416,0.02457600,0.00001069,0.00000000,0.02458669,0
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,1.0,0.5,7.59114416,0.02457600,0.00001069,3.79557208,3.82015877,0
10000,2,brr,0.2,0.5,0.25,14,14,0,262144,1.0,1.0,7.59114416,0.02457600,0.00001069,7.59114416,7.61573085,1
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.05,0.0,7.59114416,0.02457600,0.15786808,0.00000000,0.18244408,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.05,0.5,7.59114416,0.02457600,0.15786808,3.79557208,3.97801616,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.05,1.0,7.59114416,0.02457600,0.15786808,7.59114416,7.77358824,1
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.2,0.0,7.59114416,0.02457600,0.00000000,0.00000000,0.02457600,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.2,0.5,7.59114416,0.02457600,0.00000000,3.79557208,3.82014808,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,0.2,1.0,7.59114416,0.02457600,0.00000000,7.59114416,7.61572016,1
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,1.0,0.0,7.59114416,0.02457600,0.00000000,0.00000000,0.02457600,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,1.0,0.5,7.59114416,0.02457600,0.00000000,3.79557208,3.82014808,0
10000,2,brr,0.2,0.5,0.25,14,14,0,2097152,1.0,1.0,7.59114416,0.02457600,0.00000000,7.59114416,7.61572016,1
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.05,0.0,7.59114416,0.02457600,0.00000000,0.00000000,0.02457600,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.05,0.5,7.59114416,0.02457600,0.00000000,3.79557208,3.82014808,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.05,1.0,7.59114416,0.02457600,0.00000000,7.59114416,7.61572016,1
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.2,0.0,7.59114416,0.02457600,0.00000000,0.00000000,0.02457600,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.2,0.5,7.59114416,0.02457600,0.00000000,3.79557208,3.82014808,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,0.2,1.0,7.59114416,0.02457600,0.00000000,7.59114416,7.61572016,1
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,1.0,0.0,7.59114416,0.02457600,0.00000000,0.00000000,0.02457600,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,1.0,0.5,7.59114416,0.02457600,0.00000000,3.79557208,3.82014808,0
10000,2,brr,0.2,0.5,0.25,14,14,0,16777216,1.0,1.0,7.59114416,0.02457600,0.00000000,7.59114416,7.61572016,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.05,0.0,7.59114416,0.05734400,63.68852844,0.00000000,63.74587244,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.05,0.5,7.59114416,0.05734400,63.68852844,3.79557208,67.54144452,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.05,1.0,7.59114416,0.05734400,63.68852844,7.59114416,71.33701660,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.2,0.0,7.59114416,0.05734400,19.18261613,0.00000000,19.23996013,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.2,0.5,7.59114416,0.05734400,19.18261613,3.79557208,23.03553221,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,0.2,1.0,7.59114416,0.05734400,19.18261613,7.59114416,26.83110429,1
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,1.0,0.0,7.59114416,0.05734400,0.03187302,0.00000000,0.08921702,0
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,1.0,0.5,7.59114416,0.05734400,0.03187302,3.79557208,3.88478910,0
10000,2,brr,0.2,0.5,0.5,15,15,0,262144,1.0,1.0,7.59114416,0.05734400,0.03187302,7.59114416,7.68036118,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.05,0.0,7.59114416,0.05734400,3.87290340,0.00000000,3.93024740,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.05,0.5,7.59114416,0.05734400,3.87290340,3.79557208,7.72581948,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.05,1.0,7.59114416,0.05734400,3.87290340,7.59114416,11.52139156,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,0.0,7.59114416,0.05734400,0.00026231,0.00000000,0.05760631,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,0.5,7.59114416,0.05734400,0.00026231,3.79557208,3.85317839,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,0.2,1.0,7.59114416,0.05734400,0.00026231,7.59114416,7.64875047,1
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,0.0,7.59114416,0.05734400,0.00000000,0.00000000,0.05734400,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,0.5,7.59114416,0.05734400,0.00000000,3.79557208,3.85291608,0
10000,2,brr,0.2,0.5,0.5,15,15,0,2097152,1.0,1.0,7.59114416,0.05734400,0.00000000,7.59114416,7.64848816,1
